val_loss,epoch,step,train_loss,test_loss
2.1365914344787598,0,38,,
,0,38,2.5636708736419678,
1.9470959901809692,1,77,,
,1,77,2.063894510269165,
1.9709793329238892,2,116,,
,2,116,2.01413893699646,
2.0679008960723877,3,155,,
,3,155,2.030362367630005,
2.0061962604522705,4,194,,
,4,194,2.012544870376587,
1.8998727798461914,5,233,,
,5,233,1.9983279705047607,
1.924501895904541,6,272,,
,6,272,1.9788849353790283,
2.0071334838867188,7,311,,
,7,311,1.9482921361923218,
1.9046157598495483,8,350,,
,8,350,1.9451181888580322,
1.946547031402588,9,389,,
,9,389,1.9628139734268188,
1.9193003177642822,10,428,,
,10,428,1.9569275379180908,
1.8796398639678955,11,467,,
,11,467,1.9475140571594238,
1.997398853302002,12,506,,
,12,506,1.9414416551589966,
1.9381297826766968,13,545,,
,13,545,1.9958544969558716,
1.9208394289016724,14,584,,
,14,584,1.9462136030197144,
1.9519587755203247,15,623,,
,15,623,1.9350849390029907,
1.974664330482483,16,662,,
,16,662,1.9654468297958374,
1.9566158056259155,17,701,,
,17,701,1.929389476776123,
1.9655466079711914,18,740,,
,18,740,1.9173322916030884,
1.9176557064056396,19,779,,
,19,779,1.9137121438980103,
1.9592549800872803,20,818,,
,20,818,1.9313701391220093,
2.3514108657836914,21,857,,
,21,857,1.9414900541305542,
1.9404089450836182,22,896,,
,22,896,1.923503041267395,
1.942720890045166,23,935,,
,23,935,1.9079359769821167,
1.953246831893921,24,974,,
,24,974,1.9015551805496216,
1.9643813371658325,25,1013,,
,25,1013,1.887474775314331,
1.9350998401641846,26,1052,,
,26,1052,1.8754826784133911,
2.0984301567077637,27,1091,,
,27,1091,1.8613120317459106,
1.937342882156372,28,1130,,
,28,1130,1.9043666124343872,
1.9227502346038818,29,1169,,
,29,1169,1.8715358972549438,
2.016895055770874,30,1208,,
,30,1208,1.866147756576538,
1.9292255640029907,31,1247,,
,31,1247,1.8789288997650146,
1.9423623085021973,32,1286,,
,32,1286,1.8552953004837036,
1.9050407409667969,33,1325,,
,33,1325,1.8465920686721802,
2.0307841300964355,34,1364,,
,34,1364,1.8724387884140015,
1.9419423341751099,35,1403,,
,35,1403,1.969918966293335,
1.9763538837432861,36,1442,,
,36,1442,1.8935322761535645,
1.9864964485168457,37,1481,,
,37,1481,1.8841578960418701,
1.8944125175476074,38,1520,,
,38,1520,1.8700110912322998,
1.9229933023452759,39,1559,,
,39,1559,1.8466734886169434,
1.9843114614486694,40,1598,,
,40,1598,1.815435767173767,
1.9465854167938232,41,1637,,
,41,1637,1.8230328559875488,
1.9496395587921143,42,1676,,
,42,1676,1.83161461353302,
1.9716306924819946,43,1715,,
,43,1715,1.8266136646270752,
1.9389677047729492,44,1754,,
,44,1754,1.83062744140625,
1.9308698177337646,45,1793,,
,45,1793,1.8049439191818237,
1.9683878421783447,46,1832,,
,46,1832,1.844917893409729,
1.9395911693572998,47,1871,,
,47,1871,1.816341519355774,
1.9227789640426636,48,1910,,
,48,1910,1.7982690334320068,
1.9093859195709229,49,1949,,
,49,1949,1.833579659461975,
1.9147307872772217,50,1988,,
,50,1988,1.8502683639526367,
1.899681568145752,51,2027,,
,51,2027,1.8249447345733643,
1.887357234954834,52,2066,,
,52,2066,1.810965657234192,
1.9236103296279907,53,2105,,
,53,2105,1.8145865201950073,
1.904237985610962,54,2144,,
,54,2144,1.8118923902511597,
1.9545835256576538,55,2183,,
,55,2183,1.7845878601074219,
1.9659323692321777,56,2222,,
,56,2222,1.8656330108642578,
1.9135758876800537,57,2261,,
,57,2261,1.8528828620910645,
1.9019614458084106,58,2300,,
,58,2300,1.8182651996612549,
1.9114207029342651,59,2339,,
,59,2339,1.8059190511703491,
1.9162342548370361,60,2378,,
,60,2378,1.7817726135253906,
1.8792909383773804,61,2417,,
,61,2417,1.789206624031067,
1.9282914400100708,62,2456,,
,62,2456,1.7603565454483032,
2.0244410037994385,63,2495,,
,63,2495,1.8269481658935547,
1.9406535625457764,64,2534,,
,64,2534,1.8433946371078491,
1.9848899841308594,65,2573,,
,65,2573,1.833928108215332,
1.9073443412780762,66,2612,,
,66,2612,1.8195055723190308,
1.9704787731170654,67,2651,,
,67,2651,1.7817471027374268,
1.9366559982299805,68,2690,,
,68,2690,1.8067383766174316,
1.9219591617584229,69,2729,,
,69,2729,1.775776743888855,
1.979151725769043,70,2768,,
,70,2768,1.7619736194610596,
1.9812276363372803,71,2807,,
,71,2807,1.7812144756317139,
1.9803447723388672,72,2846,,
,72,2846,1.800498366355896,
,73,2847,,1.933276891708374
